original_sample_id	ms_container_id	extraction_container_id	original_sample_container_id	qfield_project	field_collector_fullname	field_taxon_name	field_latitude	field_longitude	field_comment_eco	field_weather	field_sample_name	field_geometry_coordinates	field_date	extraction_dried_weight	extraction_solvent_volume	extraction_dried_weight_unit_symbol	extraction_solvent_volume_unit_symbol	extraction_method_method_name	aliquot_aliquot_volume	aliquot_volume_unit_symbol	ms_filename	ms_injection_volume	ms_injection_volume_unit_symbol	ms_injection_method_method_name	ms_instrument_instrument_id	ms_instrument_model_instrument_model	ms_instrument_location_room_name	watcher_exact_filename_match	profile_mode	profiled_positive	profiled_negative	profiled_any	metadata_lineage_row_count	resolved_taxon_input_name	resolved_taxon_canonical	resolved_taxon_id	resolved_taxon_scientific_name	resolved_taxon_matched_name	resolved_taxon_current_name	resolved_taxon_synonym	resolved_taxon_source_id	resolved_taxon_source_title	resolved_taxon_kind	resolved_taxon_sort_score	resolved_taxon_match_type	resolved_taxon_edit_distance	resolved_taxon_classification_path	resolved_taxon_kingdom	resolved_taxon_phylum	resolved_taxon_class	resolved_taxon_order	resolved_taxon_family	resolved_taxon_genus
dbgi_000009			dbgi_000009	jbuf			7.155875	46.792717			Strophanthus hispidus D.C.	[7.155875081224536, 46.7927177451605]																		false	false	false	1	Strophanthus hispidus D.C.	Strophanthus hispidus	6ZYP2	Strophanthus hispidus D.C.	Strophanthus hispidus A.DC.	Strophanthus hispidus A.DC.	false	1	Catalogue of Life	BestMatch	9.40932	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Apocynoideae|Nerieae|Alafiinae|Strophanthus|Strophanthus hispidus	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Strophanthus
dbgi_000010			dbgi_000010	jbuf			7.155942	46.792713			Ficus elastica Roxb.	[7.15594194322976, 46.79271305412463]																		false	false	false	1	Ficus elastica Roxb.	Ficus elastica	6HXJH	Ficus elastica Roxb.	Ficus elastica Roxb.	Ficus elastica Roxb.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Ficeae|Ficus|Ficus elastica	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus
dbgi_000011			dbgi_000011	jbuf			7.155878	46.792683			Persea americana Mill.	[7.155878016948184, 46.7926811776458]																		false	false	false	1	Persea americana Mill.	Persea americana	4F97T	Persea americana Mill.	Persea americana Mill.	Persea americana Mill.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Laurales|Lauraceae|Perseeae|Persea|Persea americana	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Persea
dbgi_000012			dbgi_000012	jbuf			7.1558824	46.792683			Cyperus esculentus L.	[7.155882143576468, 46.792684441107056]																		false	false	false	1	Cyperus esculentus L.	Cyperus esculentus	33C6P	Cyperus esculentus L.	Cyperus esculentus L.	Cyperus esculentus L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Cyperaceae|Cyperus|Cyperus esculentus	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Cyperus
dbgi_000013			dbgi_000013	jbuf			7.1559043	46.7927			Crescentia cujete L.	[7.155904178797281, 46.79270097907772]																		false	false	false	1	Crescentia cujete L.	Crescentia cujete	ZF3R	Crescentia cujete L.	Crescentia cujete L.	Crescentia cujete L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Bignoniaceae|Crescentieae|Crescentia|Crescentia cujete	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae	Crescentia
dbgi_000014			dbgi_000014	jbuf			7.155912	46.792732			Musa basjoo Iinuma	[7.155911793923872, 46.79273062751146]																		false	false	false	1	Musa basjoo Iinuma	Musa basjoo	CDNR3	Musa basjoo Iinuma	Musa basjoo Siebold ex Miq.	Musa basjoo Siebold ex Miq.	false	1	Catalogue of Life	BestMatch	9.40932	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Musaceae|Musa|Musa basjoo	Plantae	Tracheophyta	Liliopsida	Zingiberales	Musaceae	Musa
dbgi_000015			dbgi_000015	jbuf			7.155882	46.792713			Catharanthus roseus (L.) G. Don. (rosa)	[7.155881973247504, 46.79271254992008]																		false	false	false	1	Catharanthus roseus (L.) G. Don. (rosa)	Catharanthus roseus	RTT8	Catharanthus roseus (L.) G. Don. (rosa)	Catharanthus roseus (L.) G.Don	Catharanthus roseus (L.) G.Don	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Rauvolfioideae|Vinceae|Catharanthinae|Catharanthus|Catharanthus roseus	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus
dbgi_000016			dbgi_000016	jbuf			7.1559596	46.792713			Physalis peruviana L.	[7.155959381979473, 46.79271172196668]																		false	false	false	1	Physalis peruviana L.	Physalis peruviana	4HFJV	Physalis peruviana L.	Physalis peruviana L.	Physalis peruviana L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanoideae|Physalideae|Physalidinae|Physalis|Physalis peruviana	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Physalis
dbgi_000017			dbgi_000017	jbuf			7.1558833	46.79269			Gossypium arboreum L.	[7.155883488965822, 46.79268916815975]																		false	false	false	1	Gossypium arboreum L.	Gossypium arboreum	6L3RF	Gossypium arboreum L.	Gossypium arboreum L.	Gossypium arboreum L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Gossypieae|Gossypium|Gossypium arboreum	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium
dbgi_000018			dbgi_000018	jbuf			7.1558633	46.792706			Costus afer Ker-Gawl.	[7.155863276330853, 46.79270635448691]																		false	false	false	1	Costus afer Ker-Gawl.	Costus afer	6B98N	Costus afer Ker-Gawl.	Costus afer Ker Gawl.	Costus afer Ker Gawl.	false	1	Catalogue of Life	BestMatch	9.40932	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Costaceae|Costus|Costus afer	Plantae	Tracheophyta	Liliopsida	Zingiberales	Costaceae	Costus
dbgi_000019			dbgi_000019	jbuf			7.1559486	46.79271			Payena leerii (Teijsm. et Binn.) Kurz	[7.155948706559165, 46.7927097770017]																		false	false	false	1	Payena leerii (Teijsm. et Binn.) Kurz	Payena leerii	75VRX	Payena leerii (Teijsm. et Binn.) Kurz	Payena leerii (T. & B.) Kurz	Payena leerii (T. & B.) Kurz	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Sapotaceae|Sapotoideae|Isonandreae|Payena|Payena leerii	Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Payena
dbgi_000020			dbgi_000020	jbuf			7.155903	46.792698			Hibiscus tiliaceus L.	[7.155902669814688, 46.79269729228271]																		false	false	false	1	Hibiscus tiliaceus L.	Hibiscus tiliaceus	3LKC5	Hibiscus tiliaceus L.	Hibiscus tiliaceus L.	Talipariti tiliaceum (L.) Fryxell	true	1	Catalogue of Life	BestMatch	9.42295	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Hibisceae|Talipariti|Talipariti tiliaceum	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus
dbgi_000021			dbgi_000021	jbuf			7.1559453	46.79271			Carludovica palmata Ruiz et Pav.	[7.155945082257371, 46.79270745138837]																		false	false	false	1	Carludovica palmata Ruiz et Pav.	Carludovica palmata	69C5P	Carludovica palmata Ruiz et Pav.	Carludovica palmata Ruiz & Pav.	Carludovica palmata Ruiz & Pav.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Pandanales|Cyclanthaceae|Carludovica|Carludovica palmata	Plantae	Tracheophyta	Liliopsida	Pandanales	Cyclanthaceae	Carludovica
dbgi_000022			dbgi_000022	jbuf			7.155931	46.792698			Furcraea foetida (L.) Haw.	[7.155931083853178, 46.79269600550074]																		false	false	false	1	Furcraea foetida (L.) Haw.	Furcraea foetida	6JSYP	Furcraea foetida (L.) Haw.	Furcraea foetida (L.) Haw.	Furcraea foetida (L.) Haw.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Furcraea|Furcraea foetida	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Furcraea
dbgi_000023			dbgi_000023	jbuf			7.1559253	46.79269			Musa x paradisiaca L.	[7.155925438665145, 46.79269212291882]																		false	false	false	1	Musa x paradisiaca L.	Musa × paradisiaca	6RQNL	Musa x paradisiaca L.	Musa × paradisiaca L.	Musa × paradisiaca L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Musaceae|Musa|Musa paradisiaca	Plantae	Tracheophyta	Liliopsida	Zingiberales	Musaceae	Musa
dbgi_000024			dbgi_000024	jbuf			7.155904	46.792694			Canna indica L.	[7.155903931026096, 46.79269298797331]																		false	false	false	1	Canna indica L.	Canna indica	68XTV	Canna indica L.	Canna indica L.	Canna indica L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Cannaceae|Canna|Canna indica	Plantae	Tracheophyta	Liliopsida	Zingiberales	Cannaceae	Canna
dbgi_000025			dbgi_000025	jbuf			7.1559405	46.79274			Oryza sativa L. 'Axios'	[7.155940609799977, 46.79273935472196]																		false	false	false	1	Oryza sativa L. 'Axios'	Oryza sativa	6SZF3	Oryza sativa L. 'Axios'	Oryza sativa L.	Oryza sativa L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Oryza|Oryza sativa	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Oryza
dbgi_000026			dbgi_000026	jbuf			7.1558843	46.792675			Arachis hypogaea L.	[7.155884407374035, 46.792674904297776]																		false	false	false	1	Arachis hypogaea L.	Arachis hypogaea	G2TD	Arachis hypogaea L.	Arachis hypogaea L.	Arachis hypogaea L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Arachis|Arachis hypogaea	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Arachis
dbgi_000027			dbgi_000027	jbuf			7.1559625	46.792706			Carica papaya L.	[7.155962230090246, 46.79270631759064]																		false	false	false	1	Carica papaya L.	Carica papaya	RCZK	Carica papaya L.	Carica papaya L.	Carica papaya L.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Caricaceae|Carica|Carica papaya	Plantae	Tracheophyta	Magnoliopsida	Capparales	Caricaceae	Carica
dbgi_000028			dbgi_000028	jbuf			7.1559305	46.79271			Abutilon grandifolium (Willd.) Sweet	[7.155930741046895, 46.79270855596032]																		false	false	false	1	Abutilon grandifolium (Willd.) Sweet	Abutilon grandifolium	8N43	Abutilon grandifolium (Willd.) Sweet	Abutilon grandifolium (Willd.) Sweet	Abutilon grandifolium (Willd.) Sweet	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvoideae|Malveae|Abutilinae|Abutilon|Abutilon grandifolium	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Abutilon
dbgi_000029			dbgi_000029	jbuf			7.1559014	46.792725			Boehmeria nivea (L.) Gaudich. s.l.	[7.155901467998406, 46.79272611794782]																		false	false	false	1	Boehmeria nivea (L.) Gaudich. s.l.	Boehmeria nivea	M9GG	Boehmeria nivea (L.) Gaudich. s.l.	Boehmeria nivea (L.) Gaudich.	Boehmeria nivea (L.) Gaudich.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Urticaceae|Urticoideae|Boehmerieae|Boehmeriinae|Boehmeria|Boehmeria nivea	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Boehmeria
dbgi_000030			dbgi_000030	jbuf			7.155886	46.79269			Abroma augustum (L.) L. f.	[7.155886257103059, 46.792691441876485]																		false	false	false	1	Abroma augustum (L.) L. f.	Abroma augustum	8M3N	Abroma augustum (L.) L. f.	Abroma augustum (L.) L.fil.	Abroma augustum (L.) L.fil.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Byttnerioideae|Byttnerieae|Abroma|Abroma augustum	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Abroma
dbgi_000031			dbgi_000031	jbuf			7.1558685	46.79271			Costus speciosus (J. Knig) Sm.	[7.155868453983496, 46.79270894639171]																		false	false	false	1	Costus speciosus (J. Knig) Sm.	Costus speciosus	6B99R	Costus speciosus (J. Knig) Sm.	Costus speciosus (J.Koenig) Sm.	Hellenia speciosa (J.Koenig) S.R.Dutta	true	1	Catalogue of Life	BestMatch	9.41461	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Costaceae|Hellenia|Hellenia speciosa	Plantae	Tracheophyta	Liliopsida	Zingiberales	Costaceae	Costus
dbgi_000032			dbgi_000032	jbuf			7.1558886	46.792717			Thevetia peruviana (Pers.) K. Schum.	[7.155888424246138, 46.79271853845764]																		false	false	false	1	Thevetia peruviana (Pers.) K. Schum.	Thevetia peruviana	56G4F	Thevetia peruviana (Pers.) K. Schum.	Thevetia peruviana (Pers.) K.Schum.	Cascabela thevetia (L.) Lippold	true	1	Catalogue of Life	BestMatch	9.42295	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Rauvolfioideae|Plumerieae|Thevetiinae|Cascabela|Cascabela thevetia	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Thevetia
dbgi_000033			dbgi_000033	jbuf			7.155954	46.792706			Sansevieria trifasciata Prain	[7.155954099685705, 46.79270398078219]																		false	false	false	1	Sansevieria trifasciata Prain	Sansevieria trifasciata	6XJ74	Sansevieria trifasciata Prain	Sansevieria trifasciata Prain	Dracaena trifasciata (Prain) Mabb.	true	1	Catalogue of Life	BestMatch	9.42295	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Dracaena|Dracaena trifasciata	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Sansevieria
dbgi_000034			dbgi_000034	jbuf			7.155944	46.792698			Sansevieria trifasciata Prain laurentii	[7.155943972373502, 46.79269974163029]																		false	false	false	1	Sansevieria trifasciata Prain laurentii	Sansevieria trifasciata var. laurentii	5RBZJ	Sansevieria trifasciata Prain laurentii	Sansevieria trifasciata var. laurentii (De Wild.) N.E.Br.	Dracaena trifasciata subsp. trifasciata	true	1	Catalogue of Life	BestMatch	9.49387	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Dracaena|Dracaena trifasciata|Dracaena trifasciata trifasciata	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Sansevieria
dbgi_000035			dbgi_000035	jbuf			7.1559377	46.792706			Sansevieria trifasciata Prain 'Hahnii'	[7.155937471160788, 46.79270658184757]																		false	false	false	1	Sansevieria trifasciata Prain 'Hahnii'	Sansevieria trifasciata	6XJ74	Sansevieria trifasciata Prain 'Hahnii'	Sansevieria trifasciata Prain	Dracaena trifasciata (Prain) Mabb.	true	1	Catalogue of Life	BestMatch	9.42295	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Dracaena|Dracaena trifasciata	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Sansevieria
dbgi_000036			dbgi_000036	jbuf			7.156599	46.793007			Ephedra helvetica	[7.156599147021051, 46.79300800986076]																		false	false	false	1	Ephedra helvetica	Ephedra helvetica	6FNFS	Ephedra helvetica	Ephedra helvetica C.A.Mey.	Ephedra distachya subsp. helvetica (C.A.Mey.) Asch. & Graebn.	true	1	Catalogue of Life	BestMatch	9.41180	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Gnetidae|Ephedrales|Ephedraceae|Ephedra|Ephedra distachya|Ephedra distachya helvetica	Plantae	Tracheophyta	Pinopsida	Ephedrales	Ephedraceae	Ephedra
dbgi_000037			dbgi_000037	jbuf			7.1557355	46.79308			echeveria elegans	[7.155735584644466, 46.79308073535394]																		false	false	false	1																				
dbgi_000038			dbgi_000038	jbuf			7.1565986	46.793			leonurus cardiaca	[7.156598742366603, 46.79299872593101]																		false	false	false	1																				
dbgi_000039			dbgi_000039	jbuf			7.1556277	46.793133			oscularia deltoides	[7.155627606314343, 46.79313357992488]																		false	false	false	1																				
dbgi_000040			dbgi_000040	jbuf			7.1558695	46.79268			Senna alexandrina Mill.	[7.155869507124742, 46.79267833313018]																		false	false	false	1	Senna alexandrina Mill.	Senna alexandrina	4WP77	Senna alexandrina Mill.	Senna alexandrina Mill.	Senna alexandrina Mill.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Senna|Senna alexandrina	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Senna
dbgi_000041			dbgi_000041	jbuf			7.155963	46.79267			Musa acuminata Colla	[7.155962713374546, 46.79267272344666]																		false	false	false	1	Musa acuminata Colla	Musa acuminata	44NQ3	Musa acuminata Colla	Musa acuminata Colla	Musa acuminata Colla	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Musaceae|Musa|Musa acuminata	Plantae	Tracheophyta	Liliopsida	Zingiberales	Musaceae	Musa
dbgi_000042			dbgi_000042	jbuf			7.1558833	46.792667			Pogostemon cablin (Blanco) Benth.	[7.155883166515526, 46.79266784279811]																		false	false	false	1	Pogostemon cablin (Blanco) Benth.	Pogostemon cablin	77SKL	Pogostemon cablin (Blanco) Benth.	Pogostemon cablin (Blanco) Benth.	Pogostemon cablin (Blanco) Benth.	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Pogostemoneae|Pogostemon|Pogostemon cablin	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Pogostemon
dbgi_000043			dbgi_000043	jbuf			7.15585	46.792694			Piper retrofractum Vahl	[7.155850141172595, 46.79269533831204]																		false	false	false	1	Piper retrofractum Vahl	Piper retrofractum	4J5MG	Piper retrofractum Vahl	Piper retrofractum Vahl	Piper retrofractum Vahl	false	1	Catalogue of Life	BestMatch	9.42329	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Piperales|Piperaceae|Piperoideae|Piper|Piper retrofractum	Plantae	Tracheophyta	Magnoliopsida	Piperales	Piperaceae	Piper
dbgi_000044			dbgi_000044	jbuf			7.155937	46.792664			Lippia dulcis Trevis.	[7.155937126726016, 46.79266503814228]																		false	false	false	1	Lippia dulcis Trevis.	Lippia dulcis	3VBTT	Lippia dulcis Trevis.	Lippia dulcis Trevir.	Lippia dulcis Trevir.	false	1	Catalogue of Life	BestMatch	9.40932	Exact	0	Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Verbenaceae|Lantaneae|Lippia|Lippia dulcis	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Lippia
