filename,extension,localisation_in_sciex_os_project,sample_id,attribute_species,sample_type,user_created,id,date_created,collector_fullname,observation_subject,inat_upload,is_wild,species_name,no_name_on_list,picture_panel,picture_general,picture_detail,picture_cut,picture_panel_label,collector_orcid,collector_inat,qfield_project,raw_date,rack,plate_position,comment,genus,family,ncbi_taxonomy_id,ionization_mode,file_type,injection,container_id,normalized_date,date_parse_status,filename_date_token
20261603_Mazz_Sample_drog_000277_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000277_01,drog_000277,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74356,2026-01-29T15:12:39.124Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000277_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:39.124Z,1,A12,plate 1,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000277_01,2026-01-29T15:12:39.124000+00:00,valid,20261603
20261903_Mazz_Sample_drog_000231_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261903_Mazz_Sample_drog_000231_01,drog_000231,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74355,2026-01-29T15:12:39.086Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000231_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000231_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000231_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000231_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000231_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:39.086Z,2,B1,plate 4,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000231_01,2026-01-29T15:12:39.086000+00:00,valid,20261903
20261603_Mazz_Sample_drog_000198_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000198_01,drog_000198,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74359,2026-01-29T15:12:39.243Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000198_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000198_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000198_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000198_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000198_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:39.243Z,1,C12,plate 1,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000198_01,2026-01-29T15:12:39.243000+00:00,valid,20261603
20261903_Mazz_Sample_drog_000169_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261903_Mazz_Sample_drog_000169_01,drog_000169,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74358,2026-01-29T15:12:39.194Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000169_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000169_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000169_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000169_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000169_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:39.194Z,2,B5,plate 4,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000169_01,2026-01-29T15:12:39.194000+00:00,valid,20261903
20261703_Mazz_Sample_drog_000147_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000147_01,drog_000147,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74352,2026-01-29T15:12:38.945Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000147_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.945Z,2,C4,plate 2,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000147_01,2026-01-29T15:12:38.945000+00:00,valid,20261703
20261803_Mazz_Sample_drog_000122_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261803_Mazz_Sample_drog_000122_01,drog_000122,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74353,2026-01-29T15:12:38.987Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000122_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000122_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000122_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000122_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000122_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.987Z,1,A4,plate 3,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000122_01,2026-01-29T15:12:38.987000+00:00,valid,20261803
20261603_Mazz_Sample_drog_000088_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000088_01,drog_000088,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74357,2026-01-29T15:12:39.155Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000088_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000088_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000088_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000088_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000088_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:39.155Z,1,F8,plate 1,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000088_01,2026-01-29T15:12:39.155000+00:00,valid,20261603
20261603_Mazz_Sample_drog_000056_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000056_01,drog_000056,Equisetum arvensevaleriana,sample,053e0368-4ed8-4569-a070-81a22ad13957,74351,2026-01-29T15:12:38.903Z,Emmanuel Defossez,Root,false,true,Equisetum arvenseValeriana_officinalis_L,false,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000056_01.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000056_02.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000056_03.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000056_04.jpg,DCIM/droguier_jbn/Valeriana_officinalis_L_drog_000056_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.903Z,1,C1,plate 1,Equisetum,Equisetaceae,3257,positive,sample,1,drog_000056_01,2026-01-29T15:12:38.903000+00:00,valid,20261603
20261603_Mazz_Sample_drog_000323_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000323_01,drog_000323,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74345,2026-01-29T15:12:38.625Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000323_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000323_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000323_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000323_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000323_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.625Z,1,F7,plate 1,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000323_01,2026-01-29T15:12:38.625000+00:00,valid,20261603
20261603_Mazz_Sample_drog_000215_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000215_01,drog_000215,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74341,2026-01-29T15:12:38.453Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000215_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000215_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000215_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000215_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000215_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.453Z,1,A10,plate 1,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000215_01,2026-01-29T15:12:38.453000+00:00,valid,20261603
20261803_Mazz_Sample_drog_000186_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261803_Mazz_Sample_drog_000186_01,drog_000186,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74348,2026-01-29T15:12:38.781Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000186_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000186_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000186_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000186_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000186_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.781Z,1,F3,plate 3,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000186_01,2026-01-29T15:12:38.781000+00:00,valid,20261803
20261803_Mazz_Sample_drog_000155_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261803_Mazz_Sample_drog_000155_01,drog_000155,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74343,2026-01-29T15:12:38.550Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000155_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000155_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000155_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000155_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000155_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.550Z,1,G11,plate 3,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000155_01,2026-01-29T15:12:38.550000+00:00,valid,20261803
20261903_Mazz_Sample_drog_000126_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261903_Mazz_Sample_drog_000126_01,drog_000126,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74347,2026-01-29T15:12:38.732Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000126_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000126_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000126_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000126_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000126_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.732Z,2,B11,plate 4,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000126_01,2026-01-29T15:12:38.732000+00:00,valid,20261903
20261803_Mazz_Sample_drog_000105_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261803_Mazz_Sample_drog_000105_01,drog_000105,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74346,2026-01-29T15:12:38.676Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000105_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000105_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000105_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000105_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000105_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.676Z,1,F4,plate 3,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000105_01,2026-01-29T15:12:38.676000+00:00,valid,20261803
20261603_Mazz_Sample_drog_000102_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000102_01,drog_000102,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74349,2026-01-29T15:12:38.820Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000102_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000102_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000102_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000102_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000102_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.820Z,1,H4,plate 1,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000102_01,2026-01-29T15:12:38.820000+00:00,valid,20261603
20261703_Mazz_Sample_drog_000090_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000090_01,drog_000090,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74344,2026-01-29T15:12:38.584Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000090_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000090_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000090_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000090_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000090_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.584Z,2,C12,plate 2,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000090_01,2026-01-29T15:12:38.584000+00:00,valid,20261703
20261603_Mazz_Sample_drog_000067_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000067_01,drog_000067,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74342,2026-01-29T15:12:38.508Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000067_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000067_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000067_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000067_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000067_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.508Z,1,E11,plate 1,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000067_01,2026-01-29T15:12:38.508000+00:00,valid,20261603
20261603_Mazz_Sample_drog_000059_01,\2026\Defossez\Mazzarine\,\2026\Defossez\Mazzarine\20261603_Mazz_Sample_drog_000059_01,drog_000059,Equisetum arvense,sample,053e0368-4ed8-4569-a070-81a22ad13957,74340,2026-01-29T15:12:38.381Z,Emmanuel Defossez,Leaf,false,true,Equisetum arvense,true,DCIM/droguier_jbn/Equisetum arvense_drog_000059_01.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000059_02.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000059_03.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000059_04.jpg,DCIM/droguier_jbn/Equisetum arvense_drog_000059_05.jpg,0000-0002-3279-9190,@manu_dfz,droguier_jbn,2026-01-29T15:12:38.381Z,1,A9,plate 1,Equisetum,Equisetaceae,3258,positive,sample,1,drog_000059_01,2026-01-29T15:12:38.381000+00:00,valid,20261603
